Name,Date,Price
ALUMINUM,2008-05-30,2895.75
ALUMINUM,2008-06-30,3073.5
ALUMINUM,2008-07-31,2939.25
ALUMINUM,2008-08-29,2672.5
ALUMINUM,2008-09-30,2384.75
ALUMINUM,2008-10-31,1998.5
ALUMINUM,2008-11-28,1733
ALUMINUM,2008-12-31,1513.75
ALUMINUM,2009-01-30,1321.75
ALUMINUM,2009-02-27,1314.5
ALUMINUM,2009-03-31,1360.25
ALUMINUM,2009-04-30,1465
ALUMINUM,2009-05-29,1412
ALUMINUM,2009-06-30,1602
ALUMINUM,2009-07-31,1873.5
ALUMINUM,2009-08-31,1873.5
ALUMINUM,2009-09-30,1864.25
ALUMINUM,2009-10-30,1880.25
ALUMINUM,2009-11-30,2034.5
ALUMINUM,2009-12-31,2203.5
ALUMINUM,2010-01-29,2053.5
ALUMINUM,2010-02-26,2108
ALUMINUM,2010-03-31,2299
ALUMINUM,2010-04-30,2231
ALUMINUM,2010-05-31,2017
ALUMINUM,2010-06-30,1960.25
ALUMINUM,2010-07-30,2169.25
ALUMINUM,2010-08-31,2039.25
ALUMINUM,2010-09-30,2329.25
ALUMINUM,2010-10-29,2323
ALUMINUM,2010-11-30,2254.75
ALUMINUM,2010-12-31,2459.25
ALUMINUM,2011-01-31,2514.75
ALUMINUM,2011-02-28,2575.5
ALUMINUM,2011-03-31,2624.5
ALUMINUM,2011-04-29,2763.75
ALUMINUM,2011-05-31,2661.25
ALUMINUM,2011-06-30,2509.25
ALUMINUM,2011-07-29,2603
ALUMINUM,2011-08-31,2439.75
ALUMINUM,2011-09-30,2130.25
ALUMINUM,2011-10-31,2202.25
ALUMINUM,2011-11-30,2110.75
ALUMINUM,2011-12-30,1997
ALUMINUM,2012-01-31,2208
ALUMINUM,2012-02-29,2294.5
ALUMINUM,2012-03-30,2094.25
ALUMINUM,2012-04-30,2086
ALUMINUM,2012-05-31,1962.5
ALUMINUM,2012-06-29,1882.75
ALUMINUM,2012-07-31,1859.75
ALUMINUM,2012-08-31,1890.75
ALUMINUM,2012-09-28,2089.25
ALUMINUM,2012-10-31,1887
ALUMINUM,2012-11-30,2101.25
ALUMINUM,2012-12-31,2046.5
ALUMINUM,2013-01-31,2062.5
ALUMINUM,2013-02-28,1969.5
ALUMINUM,2013-03-29,1882.5
ALUMINUM,2013-04-30,1839
ALUMINUM,2013-05-31,1885.75
ALUMINUM,2013-06-28,1737.25
ALUMINUM,2013-07-31,1767
ALUMINUM,2013-08-30,1774.5
ALUMINUM,2013-09-30,1806.25
ALUMINUM,2013-10-31,1823
ALUMINUM,2013-11-29,1717.75
ALUMINUM,2013-12-31,1761.75
ALUMINUM,2014-01-31,1671
